imdb_score,release_year,movie_title_length,aspect_ratio,colour_film,genres_length,distributor_length,actor1_length,is_Miramax,is_Nov,is_Dec
5.7,2012,17,2.35,Color,20,12,13,0,0,1
5.9,2001,11,1.85,Color,28,21,15,0,1,0
8.2,1980,16,2.35,Black and White,15,18,15,0,0,0
2.4,2000,17,2.35,Color,23,12,13,0,0,0
2.1,2006,9,1.85,Color,12,23,15,0,0,0
7.3,1998,20,1.85,Color,22,12,11,0,0,0
7.7,1964,18,1.75,Black and White,14,14,14,0,0,0
7.6,2000,15,2.35,Color,11,16,14,0,0,0
8.1,2013,4,2.35,Color,28,10,15,0,0,0
6.8,1993,8,1.85,Color,22,18,10,0,0,0
6.7,2012,28,2.35,Color,33,29,11,0,0,0
4.4,2013,14,2.35,Color,26,24,15,0,1,0
7.5,2007,16,2.35,Color,13,28,10,0,0,0
7.7,1996,21,1.85,Color,13,29,12,0,0,0
7.9,1982,26,1.85,Color,13,18,12,0,0,0
6.8,2006,22,2.35,Color,19,20,12,0,0,0
6.1,2016,26,2.35,Color,21,13,12,0,0,0
7,1997,21,1.85,Color,12,22,14,0,0,0
7.9,2007,8,2.35,Color,21,14,11,0,0,0
7.2,2003,13,1.85,Color,12,15,10,0,0,0
5.1,2002,18,1.85,Color,14,29,14,0,0,0
6.4,1999,8,1.85,Color,18,25,14,0,1,0
6.2,2009,4,2.35,Color,20,4,9,0,0,0
7.4,1999,15,2.35,Color,22,18,10,0,0,1
6.8,1996,31,1.85,Color,32,18,12,0,0,1
7.6,2007,8,1.85,Color,6,29,10,0,0,0
9.3,1994,24,1.85,Color,11,22,14,0,0,0
7.2,1951,9,1.37,Color,31,25,13,0,0,1
4.5,2001,19,1.85,Color,6,21,8,0,0,0
8.8,1980,46,2.35,Color,31,19,13,0,0,0
7,2006,11,1.85,Color,27,22,12,0,1,0
5.6,2003,21,1.85,Color,28,10,17,0,0,0
7.6,1978,12,1.85,Color,6,18,12,0,0,0
4.8,2004,4,1.85,Color,6,23,11,0,0,0
6.4,2003,28,1.85,Color,14,18,19,0,0,0
5.6,2004,10,2.35,Color,22,21,15,0,0,0
7,2008,11,1.85,Color,30,18,10,0,0,0
6.8,2003,8,1.85,Color,5,24,12,0,0,0
7.7,2012,12,1.85,Color,20,10,15,0,0,0
4.5,2008,15,1.85,Color,29,15,10,0,0,0
7.1,2006,14,1.85,Color,28,28,14,0,0,0
8.2,1998,16,1.85,Color,12,21,22,0,0,0
6.7,2001,14,1.85,Color,13,12,12,0,0,0
5.7,2014,18,1.85,Color,6,44,11,0,1,0
6.9,2016,10,2.35,Color,6,12,11,0,0,0
2.6,2013,86,1.85,Color,6,35,14,0,0,0
6.4,2000,17,1.85,Color,20,20,14,0,0,0
7.2,2011,9,1.85,Color,20,34,13,0,0,0
7.7,2003,9,2.35,Color,5,20,22,0,0,0
7.3,1991,9,2.35,Color,14,18,14,0,1,0
6.9,2001,30,2.35,Color,6,15,12,0,0,0
7.1,2009,24,2.35,Color,28,22,13,0,0,0
4.4,1994,16,2.35,Color,25,12,10,0,0,0
8.1,2008,19,2.35,Color,5,17,12,0,0,0
4.9,2008,9,1.85,Color,12,20,18,0,0,0
8.5,1981,23,2.35,Color,16,18,13,0,0,0
6.3,1997,5,2.35,Color,31,20,11,0,0,0
6.1,2001,16,1.85,Color,14,14,14,0,0,0
4.9,1981,12,1.85,Color,6,18,20,0,0,0
6.3,1998,15,1.85,Color,21,29,11,0,1,0
6.3,2013,20,2.35,Color,15,16,12,0,0,0
7,2014,18,2.35,Color,38,29,13,0,0,0
8,2010,10,2.35,Color,14,24,15,0,0,1
6.7,1994,10,1.66,Color,21,14,15,0,0,0
7.1,2011,11,1.85,Color,31,35,10,0,1,0
6.3,2010,12,2.35,Color,20,14,16,0,0,0
7,1981,12,1.85,Color,31,16,14,0,1,0
6.6,1999,37,2.35,Color,29,15,11,0,0,0
6.6,2008,15,2.35,Color,18,20,14,0,0,0
6.9,2009,17,2.35,Color,12,12,19,0,0,0
5.6,2011,13,2.35,Color,24,18,15,0,0,0
7.1,2013,9,2.35,Color,20,27,12,0,0,0
6.7,2000,12,2.35,Color,19,29,13,0,0,0
6.2,2004,11,2.35,Color,5,6,12,0,0,0
6.8,2011,5,2.35,Color,21,34,14,0,0,0
7.2,2008,25,1.85,Color,20,18,10,0,0,0
6.6,2017,10,2.35,Color,28,29,13,0,0,0
7.5,2006,13,2.35,Color,37,10,10,0,0,0
4.4,2000,7,1.85,Color,14,17,13,0,0,0
7.7,2007,25,2.35,Color,32,24,13,0,0,0
6.6,2013,13,1.85,Color,5,14,10,0,0,0
5.6,1996,19,1.85,Color,21,18,18,0,0,0
6.9,2001,18,2.35,Color,13,12,15,0,0,0
7.3,2014,16,2.35,Color,49,21,14,0,0,0
6.2,2005,11,2.35,Color,26,21,12,0,0,0
8,2001,16,1.85,Color,22,18,11,0,0,0
5.9,2007,10,2.35,Color,44,12,13,0,0,0
6.8,2005,36,2.35,Color,23,20,15,0,0,0
7.6,2006,21,2.35,Color,12,24,12,0,0,0
6.7,2001,24,2.35,Color,21,18,11,0,0,0
6.5,2005,7,2.35,Color,16,23,11,0,0,0
6.7,2003,14,1.85,Color,12,20,12,0,0,0
6.5,2010,10,2.35,Color,19,14,12,0,0,0
7.2,2015,10,1.85,Color,12,29,14,0,0,0
5.9,2008,10,2.35,Color,28,29,9,0,0,0
6.8,1998,8,1.85,Color,20,35,13,0,0,0
4.8,2001,10,1.85,Color,13,29,14,0,0,0
6.1,2009,30,1.78,Color,20,22,16,0,0,0
5.4,2010,5,2.35,Color,14,16,14,0,0,0
5.9,2007,12,2.35,Color,12,18,15,0,0,0
7.1,1977,20,2.35,Color,32,14,14,0,0,0
7.4,2006,12,1.85,Color,22,9,12,0,0,0
8.5,2014,8,2.4,Color,11,17,12,0,0,0
6.8,2014,15,2.35,Color,30,21,11,0,0,0
6.7,2000,17,1.85,Color,15,15,14,0,0,0
6.5,2008,9,1.85,Color,24,19,14,0,0,0
7.3,2008,12,2.35,Color,28,14,13,0,0,0
7,1996,13,1.85,Color,12,18,12,0,0,0
5.9,1986,16,1.85,Color,39,18,11,0,0,1
7.6,2006,9,2.35,Color,22,18,19,0,0,0
5.7,2001,21,2.35,Color,14,29,13,0,0,0
6.5,2000,10,1.85,Color,18,15,13,0,0,0
7.9,1980,18,1.85,Color,25,18,12,0,0,0
6.3,2014,12,2.35,Color,13,18,13,0,0,0
6.4,2012,30,2.35,Color,13,35,14,0,0,0
5.5,2005,15,1.85,Color,21,18,11,0,0,0
5,1998,10,1.85,Color,20,12,16,0,1,0
7,2013,15,2.35,Color,20,14,14,0,0,0
7.8,2015,13,2.35,Color,30,18,12,0,0,1
6.4,1978,8,1.85,Color,5,14,18,0,0,0
7.7,1997,5,1.85,Color,29,18,11,0,0,0
6.1,2011,24,2.35,Color,15,9,14,0,0,0
6.8,2008,9,2.35,Color,31,33,9,0,0,0
6.7,1997,6,2.35,Color,21,12,8,0,0,0
7.9,2009,12,2.35,Color,11,10,13,0,0,0
7.2,2003,11,1.85,Color,20,13,20,0,0,0
7.6,1996,16,1.85,Color,11,21,10,0,0,0
7,2010,16,2.35,Black and White,25,19,19,0,0,0
2,2007,17,1.85,Color,12,30,13,0,0,0
6.7,1998,11,2.35,Color,30,18,14,0,0,1
6.6,1994,22,2.35,Color,40,18,12,0,1,0
7.2,1999,14,2.35,Color,20,23,12,0,0,0
7,2009,13,1.85,Color,23,29,12,0,0,0
6.9,2011,19,2.35,Color,13,21,16,0,0,0
5.8,1994,7,2.35,Color,28,18,8,0,0,0
5,2011,9,2.35,Color,23,9,10,0,0,0
7.4,2013,16,1.85,Color,22,14,13,0,0,0
7.7,2007,21,1.85,Color,21,13,11,0,0,0
5.2,2004,20,1.85,Color,14,21,8,0,0,0
6.5,1977,24,1.85,Color,6,39,12,0,0,0
6.7,2002,23,1.85,Color,20,16,15,0,0,0
6.6,1997,14,2.35,Color,28,18,14,0,0,0
7.6,1990,23,1.85,Color,11,18,9,0,0,1
7.6,2006,21,1.85,Color,28,29,12,0,1,0
6.1,2014,19,2.35,Color,14,17,15,0,0,0
5.5,2008,15,2.35,Color,14,29,10,0,0,0
5.2,2006,19,1.33,Color,41,14,13,0,0,0
7.1,2000,13,1.85,Color,12,7,10,0,0,0
6.5,2011,9,1.85,Color,19,18,12,0,0,0
5.8,2004,9,2.35,Color,20,16,15,0,0,0
6.8,2010,6,1.85,Color,21,17,11,0,0,0
7.3,2003,14,2.35,Color,15,24,17,0,0,0
7,2014,8,1.85,Color,29,21,15,0,0,1
8,1969,14,2.35,Color,24,26,14,0,0,0
6.1,2003,10,1.85,Color,15,21,12,0,0,0
7.2,2001,12,1.85,Color,19,19,15,0,0,0
7.2,2008,24,1.85,Color,13,10,18,0,0,0
7.7,2009,14,1.85,Color,21,12,14,0,1,0
7,2007,16,2.35,Black and White,11,17,17,0,0,0
6,2013,14,2.35,Color,23,25,15,0,0,0
7.5,2005,21,1.85,Color,20,15,15,0,0,0
6.5,2012,11,2.35,Color,23,18,10,0,0,0
7.3,1996,13,1.85,Color,26,16,10,0,0,1
5.7,2004,30,1.85,Black and White,12,50,12,0,0,0
8.4,1992,14,2.35,Color,20,7,17,0,0,0
8.1,1999,15,1.85,Color,22,20,12,0,0,0
6.5,2014,10,2.35,Color,20,29,10,0,0,0
6.6,1983,9,2.35,Color,25,28,13,0,0,0
6.9,2011,9,2.35,Color,22,29,16,0,0,0
7.4,1982,11,2.35,Color,14,28,16,0,0,0
6.5,2000,10,1.85,Color,5,26,9,0,0,0
7.8,2016,15,2.35,Color,23,15,12,0,0,0
7,2000,10,2.35,Color,5,16,12,0,0,0
7.6,1989,23,1.85,Color,20,29,11,0,0,0
6.8,2011,5,1.85,Color,18,12,16,0,0,0
7.5,2002,14,2.35,Color,11,7,13,0,0,0
7.1,2016,5,2.35,Color,39,9,12,0,0,0
5.3,2000,14,1.85,Color,20,15,15,0,0,0
7.3,2004,34,2.35,Color,22,20,11,0,0,1
5.8,2003,12,2.35,Color,6,21,10,0,0,1
7.1,2011,21,1.85,Color,23,18,10,0,0,0
6.7,2002,10,1.85,Color,14,21,16,0,0,0
7,2008,12,2.35,Color,20,16,15,0,0,0
6.6,1995,10,1.78,Color,56,20,14,0,0,0
6.3,2007,25,2.35,Color,29,11,14,0,0,0
7,1965,11,2.35,Color,25,14,16,0,0,1
6.5,1998,10,2.35,Color,6,7,11,0,0,0
6.3,2010,8,2.35,Color,28,18,11,0,0,0
6.8,2009,8,2.35,Color,37,20,13,0,0,0
6.7,2003,20,1.85,Color,26,21,14,0,0,0
8,2014,3,1.85,Color,20,19,18,0,0,0
7.6,2006,10,2.35,Color,28,18,17,0,0,0
5.6,2000,13,1.85,Color,18,24,11,0,0,0
8,2005,8,2.35,Color,32,18,12,0,0,0
5.2,2010,6,2.35,Color,21,30,12,0,0,0
8.3,2016,4,2.35,Color,5,24,10,0,0,0
8.1,2014,24,1.37,Color,28,24,11,0,0,0
8.3,2005,8,1.85,Color,27,17,18,0,0,0
7.8,1999,12,1.85,Color,6,21,9,0,0,0
7.9,2010,11,2.35,Color,21,21,14,0,0,1
4.3,1996,10,1.85,Color,27,29,10,0,0,0
6.2,1998,7,1.85,Color,13,13,11,0,0,0
6,2006,11,2.35,Color,12,25,14,0,0,0
7.5,1998,11,1.85,Color,26,16,15,0,0,0
3.9,2007,15,1.85,Color,14,24,11,0,0,1
6.8,1988,10,1.85,Color,35,21,12,0,0,0
6.6,2005,6,1.85,Color,14,16,18,0,0,0
2.4,2003,5,2.35,Color,20,29,15,0,0,0
8,1995,13,1.85,Color,13,29,16,0,0,0
6.1,2007,15,1.66,Black and White,22,12,11,0,0,0
6.2,2008,11,2.35,Color,20,11,11,0,0,0
7.2,1999,21,1.85,Color,13,29,11,0,0,0
6.4,1977,19,2.35,Color,6,12,8,0,0,0
6.8,2002,10,2.35,Color,20,29,15,0,0,0
7.2,2010,11,2.35,Color,36,35,11,0,0,0
7,2011,10,2.35,Color,5,16,10,0,0,0
8.6,1998,18,1.85,Black and White,11,15,12,0,1,0
5.7,2012,7,2.35,Color,11,23,14,0,0,0
6.8,2006,11,2.35,Color,27,14,10,0,0,0
7.3,2011,12,2.35,Color,12,14,13,0,0,0
6.8,2011,6,1.85,Color,18,13,19,0,0,0
7.9,1989,18,1.85,Color,5,18,8,0,0,0
7.5,2003,10,2.35,Color,21,20,13,0,0,0
3.7,2009,37,2.35,Color,35,23,11,0,0,0
5.3,1985,15,1.85,Color,15,24,11,0,0,0
7.8,1997,7,2.35,Color,21,29,15,0,0,0
5.6,2015,9,2.35,Color,27,11,13,0,0,0
7.7,2009,11,2.35,Color,5,18,10,0,0,0
6.1,1983,10,1.85,Color,19,18,13,0,0,0
7.7,2012,4,2.35,Color,32,12,11,0,0,0
7.3,2006,12,1.85,Color,12,12,12,0,1,0
6.8,2011,11,2.35,Color,14,18,10,0,0,0
7.7,2015,5,2.35,Color,11,12,18,0,1,0
6.3,1997,24,2.35,Color,14,16,13,0,0,0
6.3,2002,10,2.35,Color,28,11,9,0,0,0
5.5,1988,19,2.35,Color,23,18,10,0,0,0
8.4,1986,6,1.85,Color,23,21,13,0,0,0
6.4,2013,12,1.85,Color,12,12,14,0,0,1
6,1990,16,1.85,Color,19,18,13,0,0,1
6.4,2005,5,2.35,Color,29,21,12,0,0,0
5.9,1994,14,1.85,Color,35,21,12,0,0,0
8.1,2011,8,1.85,Color,5,35,10,0,0,0
5.1,2009,12,2.35,Color,14,19,13,0,0,0
6.8,1990,18,2.35,Color,38,25,12,0,0,0
5.5,2012,6,2.35,Color,27,16,12,0,0,0
5.2,2015,12,2.39,Color,22,23,17,0,0,0
4.9,1983,12,2.35,Color,20,12,13,0,0,0
8,2012,31,1.85,Color,13,20,12,0,0,0
5.7,2013,17,1.85,Color,11,7,12,0,0,0
5.9,2005,9,1.85,Color,14,29,10,0,0,0
7.6,2006,8,2.35,Color,22,21,10,0,0,0
7.8,2012,16,1.85,Color,30,34,12,0,0,0
5.9,1999,15,1.85,Color,20,18,12,0,0,0
7.4,2003,15,1.85,Color,13,14,12,0,0,0
6.4,2015,8,2.35,Color,20,29,9,0,0,0
6.3,1971,34,2.35,Color,13,21,14,0,0,0
5.4,2010,26,2.35,Color,27,12,18,0,0,0
5.8,2001,15,2.35,Color,28,29,10,0,0,0
6.7,1987,20,2.35,Color,25,14,13,0,0,0
6.3,2011,13,1.85,Color,5,12,12,0,0,0
6.5,1999,3,2.35,Color,16,33,12,0,0,0
2.9,2007,14,1.85,Color,13,16,13,0,0,0
5.5,2006,21,1.85,Color,14,9,9,0,0,0
7.6,2014,25,1.85,Color,37,15,12,0,1,0
7.4,2014,11,1.85,Color,11,10,12,0,0,0
6.4,2002,16,1.85,Color,27,12,14,0,0,0
5.7,2002,23,2.35,Color,28,15,9,0,0,0
7.3,2011,10,2.35,Color,20,23,13,0,0,0
5.9,2013,8,2.35,Color,40,20,13,0,0,0
6,2001,25,1.85,Color,47,18,12,0,0,1
7.1,2010,25,1.78,Color,11,43,18,0,0,0
7.3,2008,23,2.35,Color,5,24,11,0,0,0
7.7,2007,16,1.85,Color,22,14,15,0,0,0
8.3,1973,9,1.85,Color,18,18,14,0,0,1
8,2010,17,1.85,Color,31,24,11,0,0,1
7.4,2005,13,1.85,Color,17,18,11,0,0,0
8.1,1939,16,1.37,Black and White,32,25,17,0,0,0
5.4,1981,17,1.78,Color,6,14,4,0,0,0
7,2011,15,2.35,Color,19,29,12,0,0,0
6.8,2005,7,2.35,Color,14,29,16,0,0,0
6.9,2009,8,2.35,Color,24,32,15,0,0,0
7.5,1997,12,1.85,Color,14,7,14,1,0,1
7.9,1990,19,1.85,Color,15,21,11,0,0,1
5.9,2001,8,1.85,Color,22,29,15,0,0,0
7.3,2011,15,2.35,Color,12,24,16,0,0,1
7.5,1970,17,2.35,Color,24,21,13,0,0,0
5.6,2006,4,1.85,Color,23,15,12,0,0,0
6.7,1997,15,1.85,Color,29,20,13,0,0,0
6.6,2005,15,1.85,Color,12,18,12,0,0,0
7.7,2002,13,1.85,Color,17,18,13,0,0,0
4.7,2005,19,1.85,Color,45,20,13,0,0,0
7.5,1997,13,1.85,Color,5,24,10,0,1,0
5.6,2000,8,2.35,Color,21,9,14,0,0,0
3.3,2013,9,1.78,Color,6,4,11,0,0,0
4.2,2009,25,1.85,Color,33,35,12,0,0,0
5.4,2011,12,1.85,Color,15,32,11,0,0,0
6.5,2010,6,2.35,Color,27,43,14,0,1,0
8.2,2011,7,2.35,Color,11,21,9,0,0,0
7.1,1999,7,2.35,Color,27,18,9,0,0,0
6.8,2007,14,2.35,Color,21,21,11,0,0,0
4.8,1998,9,2.35,Color,22,33,12,0,0,0
6.3,2014,7,2.35,Color,11,18,15,0,0,0
7.6,1984,36,2.35,Color,16,18,13,0,0,0
7,1999,12,1.85,Color,6,18,15,0,0,0
8.7,1977,34,2.35,Color,31,21,13,0,0,0
5.4,2003,12,1.85,Color,14,21,12,0,0,0
7.7,2010,9,2.35,Color,23,18,10,0,0,1
7.1,2011,15,1.85,Color,19,21,18,0,0,1
