"","X","imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","movie_id.1","comput","campus","holiday","riot","terror","escap","wish","love","movie_id","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family"
"18",18,7.5,90,2004,7,2.4,"Color",29,20,12,0,0,0,90,0,0,0,0,0,0,0,0,90,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"19",19,8.2,93,1995,6,2.35,"Color",21,25,14,0,1,0,93,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"20",20,6.2,105,2010,10,1.85,"Color",19,20,13,0,0,0,105,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21",21,7.1,117,2010,6,1.85,"Color",14,11,10,0,0,0,117,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"22",22,5.8,120,2006,19,2.35,"Color",6,15,14,0,0,0,120,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23",23,6.1,157,1998,11,1.85,"Color",28,16,15,0,0,0,157,0,0,0,0,0,0,0,0,157,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"24",24,7.2,160,2003,12,1.85,"Color",22,15,14,0,0,0,160,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"25",25,6.5,162,2004,12,2.35,"Color",27,16,13,0,0,0,162,0,0,0,0,0,0,0,0,162,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
"26",26,6.2,163,2013,6,2.35,"Color",29,17,13,0,0,0,163,0,0,0,0,0,0,0,0,163,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"27",27,6.5,164,2006,7,2.35,"Color",25,20,14,0,0,0,164,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"28",28,4.9,172,1996,11,2.35,"Color",31,18,20,0,0,0,172,0,0,0,0,0,0,0,0,172,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"29",29,6.3,173,2011,20,2.35,"Color",20,16,12,0,0,0,173,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"30",30,5.1,175,1997,7,1.85,"Color",25,20,12,0,0,0,175,0,0,0,0,0,0,0,0,175,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"31",31,6.8,177,1973,16,1.66,"Color",25,14,12,0,0,0,177,0,0,0,0,0,0,0,0,177,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"32",32,5.7,178,2013,9,2.35,"Color",22,4,14,0,1,0,178,0,0,0,0,0,0,0,0,178,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"33",33,7.3,181,1986,27,2.35,"Color",31,21,11,0,0,0,181,0,0,0,0,0,0,0,0,181,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"34",34,6.7,183,1994,10,2.35,"Color",28,12,16,0,0,0,183,0,0,0,0,0,0,0,0,183,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"35",35,8.3,186,1997,17,2.35,"Color",28,12,12,0,0,0,186,0,0,0,0,0,0,0,0,186,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"36",36,6,187,1998,11,2.35,"Color",30,33,14,0,0,0,187,0,0,0,0,0,0,0,0,187,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"37",37,8.1,191,1984,14,1.85,"Color",13,14,13,0,0,0,191,0,0,0,0,0,0,0,0,191,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"38",38,7.5,194,1995,11,2.35,"Color",9,20,17,0,0,0,194,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"39",39,7.7,197,2004,3,1.85,"Color",23,16,15,0,0,0,197,0,0,0,0,0,0,0,0,197,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"40",40,6.4,208,2014,19,1.85,"Color",37,35,10,0,0,0,208,0,0,0,0,0,0,0,0,208,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"41",41,8.1,211,1983,6,2.35,"Black and White",23,29,14,0,0,0,211,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"42",42,8.4,213,1984,27,1.85,"Color",11,16,14,0,0,0,213,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"43",43,6.8,215,1999,17,2.35,"Color",12,15,14,0,0,0,215,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"44",44,7.8,218,2008,30,1.85,"Color",9,7,15,1,1,0,218,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"45",45,4.5,221,2002,11,2.35,"Color",25,13,12,0,1,0,221,0,0,0,0,1,0,0,0,221,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"46",46,5.5,226,1995,10,2.35,"Color",28,18,17,0,0,0,226,0,0,0,0,0,0,0,0,226,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"47",47,5.6,234,2007,15,1.85,"Color",14,9,9,0,0,0,234,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"48",48,5.1,236,2015,11,2.35,"Color",19,12,12,0,0,0,236,0,0,0,0,0,0,0,0,236,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"49",49,6.9,238,1984,8,1.85,"Color",28,18,10,0,0,0,238,0,0,0,0,0,0,0,0,238,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"50",50,6.9,243,1996,7,2.35,"Color",12,27,11,0,0,0,243,0,0,0,0,0,0,0,0,243,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"51",51,6.5,248,1990,19,1.33,"Color",19,10,12,0,0,0,248,0,0,0,0,0,0,0,0,248,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"52",52,6.2,252,2013,5,2.35,"Color",13,10,12,0,0,0,252,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"53",53,6.8,257,2012,8,2.35,"Color",14,9,14,0,0,0,257,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"54",54,7.4,259,2014,9,2.35,"Color",11,12,17,0,0,0,259,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"55",55,7.6,261,1996,24,2.35,"Color",38,35,12,0,1,0,261,0,0,0,0,0,0,0,0,261,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"56",56,6.7,275,2007,12,2.35,"Color",27,18,13,0,0,0,275,0,0,0,0,0,0,0,0,275,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"57",57,6.8,280,2005,19,2.35,"Color",26,4,13,0,0,0,280,0,0,0,0,0,0,0,0,280,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"58",58,6.3,282,2009,38,2.35,"Color",21,43,13,0,0,1,282,0,0,0,0,0,0,0,0,282,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"59",59,6.9,284,1990,12,1.85,"Color",14,20,13,0,0,0,284,0,0,0,0,0,0,0,1,284,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60",60,6,290,2014,11,2.35,"Color",20,18,14,0,0,1,290,0,0,0,0,0,0,0,0,290,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"61",61,5.1,296,2007,22,2.35,"Color",6,34,10,0,0,0,296,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"62",62,7.7,297,1997,18,1.85,"Color",20,16,14,0,0,1,297,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"63",63,6,299,2016,13,2.35,"Color",6,9,14,0,0,0,299,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"64",64,7.3,305,1996,18,2.35,"Color",11,20,11,0,0,0,305,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"65",65,7.7,307,2015,10,2.35,"Black and White",29,3,13,0,0,0,307,0,0,0,0,0,0,0,0,307,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"66",66,5.5,308,2010,17,2.35,"Color",21,29,13,0,0,0,308,0,0,0,0,0,0,0,0,308,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"67",67,5.2,313,2001,11,1.85,"Color",31,18,11,0,0,0,313,0,0,0,0,0,0,0,0,313,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"68",68,6.6,321,1984,35,2.35,"Color",23,18,13,0,0,0,321,0,0,0,0,0,0,0,0,321,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
