"imdb_score","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","comput","campus","holiday","riot","terror","escap","wish","love","dummy_R","dummy_PG.13","dummy_Approved","dummy_TV.G","dummy_TV.14","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family","movie_budget","duration","nb_news_articles","movie_meter_IMDBpro","nb_faces","actor3_star_meter"
5.1,1997,7,1.85,"Color",25,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3000000,98,210,10945,0,6088
6.8,1973,16,1.66,"Color",25,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7000000,121,595,3488,3,11575
5.7,2013,9,2.35,"Color",22,4,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3000000,85,54,71,0,7775
7.3,1986,27,2.35,"Color",31,21,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,25000000,99,724,2040,1,23888
6.7,1994,10,2.35,"Color",28,12,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,45000000,119,118,4023,3,2271
8.3,1997,17,2.35,"Color",28,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,35000000,138,80,1615,2,10551
6,1998,11,2.35,"Color",30,33,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,45000000,106,82,4759,0,3253
8.1,1984,14,1.85,"Color",13,14,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6500000,107,6801,1100,1,8672
7.5,1995,11,2.35,"Color",9,20,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6000000,104,0,656405,3,2364
7.7,2004,3,1.85,"Color",23,16,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1200000,103,3721,1488,0,2602
6.4,2014,19,1.85,"Color",37,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,50000000,119,1323,6931,4,4414
8.1,1983,6,2.35,"Black and White",23,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22000000,240,505,4226,0,8476
8.4,1984,27,1.85,"Color",11,16,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30000000,251,286,563,8,4071
6.8,1999,17,2.35,"Color",12,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15000000,95,189,8068,0,4391
7.8,2008,30,1.85,"Color",9,7,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12500000,94,202,2821,0,22574
4.5,2002,11,2.35,"Color",25,13,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,40000000,93,4,25980,0,5006
5.5,1995,10,2.35,"Color",28,18,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,30000000,106,32,6993,1,1054
5.6,2007,15,1.85,"Color",14,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,101,268,3875,1,6699
5.1,2015,11,2.35,"Color",19,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35000000,87,395,6030,2,1612
6.9,1984,8,1.85,"Color",28,18,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1500000,92,308,7194,3,6446
6.9,1996,7,2.35,"Color",12,27,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27000000,117,201,2988,2,6237
6.5,1990,19,1.33,"Color",19,10,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10000000,90,9,17494,2,37813
6.2,2013,5,2.35,"Color",13,10,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16000000,112,256,2237,0,370
6.8,2012,8,2.35,"Color",14,9,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3000000,110,2133,1527,0,3000
7.4,2014,9,2.35,"Color",11,12,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,50000000,141,1003,3475,1,217
7.6,1996,24,2.35,"Color",38,35,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,45000000,111,205,5990,2,3898
6.7,2007,12,2.35,"Color",27,18,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17000000,109,414,3654,0,8987
6.8,2005,19,2.35,"Color",26,4,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,780000,90,15,20530,0,26283
6.3,2009,38,2.35,"Color",21,43,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8000000,138,263,7306,0,2999
6.9,1990,12,1.85,"Color",14,20,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14000000,125,1775,1131,2,3559
6,2014,11,2.35,"Color",20,18,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,111,559,4187,1,65215
